cta_per,cta_id,(No column name),(No column name),total
33146,2726539,PTM,520,4149.49
33210,3032132,PTM,12,6153.39
33274,2439077,PTM,6,7796.68
33291,2429936,PTM,6,2447.25
33292,2602063,PTM,9,5666.27
33485,2063401,PTM,3,2804.96
33534,2903731,PTM,9,4222.99
33637,2783485,PTM,9,8036.05
33767,2694379,PTM,9,4641.85
33873,2689137,PTM,1,4894.50
33909,3022375,PTM,1,5423.25
33917,2841330,PTM,1,12087.16
33937,2441310,PTM,1,13834.89
34283,2713870,PTM,9,3012.57
34401,2279913,PTM,6,7465.84
34493,2760820,PTM,12,7792.44
34503,2607753,PTM,6,7084.26
34522,2189060,PTM,6,2465.51
34599,2585234,PTM,9,4294.24
34679,2363398,PTM,1,3208.09
34685,2396893,PTM,1,6786.69
34703,2937187,PTM,1,10403.90
34706,2745089,PTM,6,2038.04
34707,2432371,PTM,1,3208.09
34708,2507551,PTM,1,25430.18
34737,2661499,PTM,1,5386.57
34764,2284055,PTM,1,5484.31
34791,2903808,PTM,6,8272.33
34953,2529886,PTM,6,3096.45
34986,3008319,PTM,1,17618.80
34996,2806883,PTM,6,2501.13
35010,2708272,PTM,6,6097.82
35010,2976723,PTM,12,4739.31
35022,2482782,PTM,12,2465.51
35024,2895350,PTM,1,5454.53
35120,2755857,PTM,3,3233.51
35134,2956077,PTM,6,3155.84
35326,2688282,PTM,1,9974.88
35368,2230893,PTM,1,6629.41
35571,2632579,PTM,9,40427.45
35697,2501603,PTM,1,6054.54
35721,2421973,PTM,9,9969.62
35739,2700897,PTM,112,3456.38
35750,3120560,PTM,2,4165.11
35777,2883195,PTM,1,17952.53
35837,2929554,PTM,1,5325.96
36037,3061624,PTM,3,4727.17
36045,2612653,PTM,6,4331.14
36047,3066713,PTM,6,1628.37
36219,3121160,PTM,2,14990.29
36307,3117262,PTM,1,15535.98
36892,2632450,PTM,12,5737.94
37030,2417525,PTM,6,13126.02
37198,2733036,PTM,12,3632.16
37231,2699264,PTM,18,33293.98
37404,2797048,PTM,9,3260.97
37732,3041798,PTM,12,3232.69
38214,3004115,PTM,3,2565.29
38341,2739975,PTM,12,4423.07
38356,3099805,PTM,6,14231.07
38358,2585059,PTM,6,1416.57
38462,3090372,PTM,9,5783.22
38928,2698618,PTM,6,3295.57
38982,3087339,PTM,15,11759.21
39003,2703334,PTM,6,922.11
39372,2766378,PTM,12,13780.24
39527,2578679,PTM,12,4079.30
39733,2728902,PTM,9,4226.72
39794,3073447,PTM,3,11216.19
39882,2458662,PTM,6,6699.58
39950,2709815,PTM,3,3721.09
39962,3032497,PTM,12,3309.48
39978,3017473,PTM,6,5247.18
40128,2768842,PTM,1,6652.38
40198,2980201,PTM,4,1690.85
40657,2523058,PTM,9,2534.68
40728,2365410,PTM,9,1821.74
40979,2976752,PTM,6,7483.75
41089,2581208,PTM,3,1983.19
41121,2539535,PTM,12,2595.13
41142,2638700,PTM,1,1898.20
41566,2793913,PTM,450,3314.71
41745,1986280,PTM,6,7710.40
41793,2655174,PTM,12,2651.77
41827,2994851,PTM,12,3027.85
42461,2189236,PTM,6,13208.41
42461,2635985,PTM,12,8795.99
42506,2611073,PTM,6,9949.17
42631,2761526,PTM,9,6127.17
42729,2584663,PTM,9,1725.85
